date,actual,predicted_probability,prediction,close,market_return,signal,strategy_return,benchmark_cumulative,strategy_cumulative
2022-11-29,1,0.4285576,0,395.2300109863281,-0.0017175435565947028,0.0,-0.0,0.9969981272360176,0.9405862485970011
2022-11-30,0,0.43400666,0,407.6799926757813,0.03150059798946758,0.0,0.0,1.0284041644383315,0.9405862485970011
2022-12-01,0,0.4449444,0,407.3800048828125,-0.0007358413421267862,0.0,-0.0,1.0276474221377223,0.9405862485970011
2022-12-02,0,0.44403467,0,406.9100036621094,-0.0011537169597666264,0.0,-0.0,1.0264618078781416,0.9405862485970011
2022-12-05,0,0.44503966,0,399.5899963378906,-0.017989253786685366,0.0,-0.0,1.007996525913882,0.9405862485970011
2022-12-06,0,0.45128575,0,393.8299865722656,-0.014414799715742554,0.0,-0.0,0.9934664578786689,0.9405862485970011
2022-12-07,1,0.4653177,0,393.1600036621094,-0.0017011983165312605,0.0,-0.0,0.9917763744129955,0.9405862485970011
2022-12-08,0,0.46811855,0,396.239990234375,0.007833926502128774,0.0,0.0,0.9995458776366947,0.9405862485970011
2022-12-09,1,0.46908912,0,393.2799987792969,-0.007470198687737906,0.0,-0.0,0.9920790713332392,0.9405862485970011
2022-12-12,1,0.47415352,0,398.9500122070313,0.014417243300787197,0.0,0.0,1.0063821166782696,0.9405862485970011
2022-12-13,0,0.47099015,0,401.9700012207031,0.007569843141412402,0.0,0.0,1.0140002714418468,0.9405862485970011
2022-12-14,0,0.47175452,0,399.3999938964844,-0.006393530155021865,0.0,-0.0,1.007517230129183,0.9405862485970011
2022-12-15,0,0.47259155,0,389.6300048828125,-0.024461665405543398,0.0,-0.0,0.9828716807554431,0.9405862485970011
2022-12-16,0,0.48500857,0,383.2699890136719,-0.01632321892420352,0.0,-0.0,0.9668280511360721,0.9405862485970011
2022-12-19,0,0.49576172,0,380.0199890136719,-0.008479662100243535,0.0,-0.0,0.9586296759534012,0.9405862485970011
2022-12-20,1,0.50249875,1,380.5400085449219,0.001368400469142994,0.0,0.0,0.9599414652517102,0.9405862485970011
2022-12-21,0,0.51096725,1,386.2300109863281,0.014952442091866303,1.0,0.014952442091866303,0.9742949344224677,0.9546503100115535
2022-12-22,1,0.5121602,1,380.7200012207031,-0.014266135745262032,1.0,-0.014266135745262032,0.9603955106320756,0.9410311390996723
2022-12-23,0,0.51922834,1,382.9100036621094,0.005752265272075174,1.0,0.005752265272075174,0.9659199603753414,0.9464441998410567
2022-12-27,0,0.51435363,1,381.3999938964844,-0.0039435108803203,1.0,-0.0039435108803203,0.9621108445020827,0.9427118868413674
2022-12-28,1,0.5078113,1,376.6600036621094,-0.01242787181496774,1.0,-0.01242787181496774,0.9501538542548205,0.9309959843532565
2022-12-29,0,0.509856,1,383.4400024414063,0.018000315173837933,1.0,0.018000315173837933,0.9672569230950441,0.9477542054971926
2022-12-30,0,0.5082264,1,382.4299926757813,-0.002634075107433076,1.0,-0.002634075107433076,0.9647090957114272,0.9452577497365274
2023-01-03,1,0.50263894,1,380.8200073242188,-0.004209882546862387,1.0,-0.004209882546862387,0.9606477837265922,0.9412783256336252
2023-01-04,0,0.5049982,1,383.760009765625,0.007720189025948843,1.0,0.007720189025948843,0.9680641662043203,0.9485451722335454
2023-01-05,1,0.5028237,1,379.3800048828125,-0.011413395797773451,1.0,-0.011413395797773451,0.9570152667177889,0.9377190507507768
2023-01-06,0,0.5002568,1,388.0799865722656,0.022932103899730993,1.0,0.022932103899730993,0.97896164024779,0.9592229214513507
2023-01-09,1,0.49603838,0,387.8599853515625,-0.0005668965891446609,1.0,-0.0005668965891446609,0.9784066702330301,0.9586791412489505
2023-01-10,1,0.48504546,0,390.5799865722656,0.007012843096556365,0.0,0.0,0.9852680826959985,0.9586791412489505
2023-01-11,1,0.47291306,0,395.5199890136719,0.01264786371867066,0.0,0.0,0.9977296191322934,0.9586791412489505
2023-01-12,1,0.46126166,0,396.9599914550781,0.003640782972808232,0.0,0.0,1.0013621361410967,0.9586791412489505
2023-01-13,0,0.4527537,0,398.5,0.0038795056884117773,0.0,0.0,1.0052469262444164,0.9586791412489505
2023-01-17,0,0.44034028,0,397.7699890136719,-0.0018318970798698597,0.0,-0.0,1.003405417335681,0.9586791412489505
2023-01-18,0,0.43298852,0,391.489990234375,-0.015788015568668268,0.0,-0.0,0.9875636369850992,0.9586791412489505
2023-01-19,1,0.44214106,0,388.6400146484375,-0.007279817254666643,0.0,-0.0,0.9803743541804937,0.9586791412489505
2023-01-20,1,0.4455762,0,395.8800048828125,0.018629039629190602,0.0,0.0,0.9986377868759643,0.9586791412489505
2023-01-23,0,0.45042637,0,400.6300048828125,0.011998585281936869,0.0,0.0,1.0106200275275603,0.9586791412489505
2023-01-24,0,0.44746384,0,400.2000122070313,-0.0010732912426441032,0.0,-0.0,1.0095353379023742,0.9586791412489505
2023-01-25,1,0.44076446,0,400.3500061035156,0.000374797331107235,0.0,0.0,1.0099137090526784,0.9586791412489505
2023-01-26,1,0.44006723,0,404.75,0.010990368001509987,0.0,0.0,1.0210130323649371,0.9586791412489505
2023-01-27,0,0.43176788,0,405.6799926757813,0.0022976965430050456,0.0,0.0,1.0233590104797652,0.9586791412489505
2023-01-30,1,0.42721042,0,400.5899963378906,-0.012546826143232104,0.0,-0.0,1.0105191028931655,0.9586791412489505
2023-01-31,1,0.431093,0,406.4800109863281,0.014703349315466685,0.0,0.0,1.0253771182529556,0.9586791412489505
2023-02-01,1,0.43353412,0,410.7999877929688,0.010627771821197785,0.0,0.0,1.0362745922964254,0.9586791412489505
2023-02-02,0,0.43694985,0,416.7799987792969,0.014556989201620407,0.0,0.0,1.0513596303463981,0.9586791412489505
2023-02-03,0,0.43102944,0,412.3500061035156,-0.010629091340170427,0.0,-0.0,1.0401846328040785,0.9586791412489505
2023-02-06,1,0.4315064,0,409.8299865722656,-0.006111360480051453,0.0,-0.0,1.0338276895472027,0.9586791412489505
2023-02-07,0,0.43087348,0,415.1900024414063,0.013078632712971494,0.0,0.0,1.0473487421872905,0.9586791412489505
2023-02-08,0,0.43067768,0,410.6499938964844,-0.010934773280246946,0.0,-0.0,1.0358962211461207,0.9586791412489505
2023-02-09,1,0.42998415,0,407.0899963378906,-0.00866917718618343,0.0,-0.0,1.0269158532585072,0.9586791412489505
2023-02-10,1,0.43870813,0,408.0400085449219,0.0023336663037101246,0.0,0.0,1.0293123321820024,0.9586791412489505
2023-02-13,0,0.4424924,0,412.8299865722656,0.011738991096546858,0.0,0.0,1.0413954204850528,0.9586791412489505
2023-02-14,1,0.44130746,0,412.6400146484375,-0.00046016987623753725,0.0,-0.0,1.0409162016832938,0.9586791412489505
2023-02-15,0,0.44168466,0,413.9800109863281,0.0032473737163669636,0.0,0.0,1.0442964455975807,0.9586791412489505
2023-02-16,0,0.43977088,0,408.2799987792969,-0.013768810222142602,0.0,-0.0,1.0299177260224897,0.9586791412489505
2023-02-17,0,0.44511572,0,407.260009765625,-0.002498258589011204,0.0,-0.0,1.027344725217479,0.9586791412489505
2023-02-21,0,0.44832692,0,399.0899963378906,-0.0200609272499801,0.0,-0.0,1.0067352374242404,0.9586791412489505
2023-02-22,1,0.46474206,0,398.5400085449219,-0.0013781046831931043,0.0,-0.0,1.0053478508788105,0.9586791412489505
2023-02-23,0,0.47719622,0,400.6600036621094,0.005319403502116682,0.0,0.0,1.0106957017576208,0.9586791412489505
2023-02-24,1,0.48788238,0,396.3800048828125,-0.01068237093839386,0.0,-0.0,0.9998990753656056,0.9586791412489505
2023-02-27,0,0.4940949,0,397.7300109863281,0.0034058380515806785,0.0,0.0,1.0033045696842262,0.9586791412489505
2023-02-28,0,0.4953401,0,396.260009765625,-0.0036959776232566854,0.0,-0.0,0.9995963784453621,0.9586791412489505
2023-03-01,1,0.49796712,0,394.739990234375,-0.003835914535380569,0.0,-0.0,0.9957620121677697,0.9586791412489505
2023-03-02,1,0.49910071,0,397.80999755859375,0.007777289862108905,0.0,0.0,1.0035063419700754,0.9586791412489505
2023-03-03,0,0.49703714,0,404.1900024414063,0.016037819365946948,0.0,0.0,1.0196003954151736,0.9586791412489505
2023-03-06,0,0.48803735,0,404.4700012207031,0.0006927404874081944,0.0,0.0,1.020306713890055,0.9586791412489505
2023-03-07,0,0.4810852,0,398.2699890136719,-0.015328731891906533,0.0,-0.0,1.0046667058253222,0.9586791412489505
2023-03-08,0,0.4858786,0,398.9200134277344,0.0016321199989792756,0.0,0.0,1.0063064424482084,0.9586791412489505
2023-03-09,0,0.48559958,0,391.55999755859375,-0.01844985365837981,0.0,-0.0,0.9877402358495542,0.9586791412489505
2023-03-10,0,0.49820036,0,385.9100036621094,-0.01442944614289643,0.0,-0.0,0.9734876913131912,0.9586791412489505
2023-03-13,1,0.5104122,1,385.3599853515625,-0.001425250201672501,0.0,-0.0,0.9721002277848214,0.9586791412489505
2023-03-14,0,0.51629585,1,391.7300109863281,0.016530065073970368,1.0,0.016530065073970368,0.988169107808526,0.9745261698388537
2023-03-15,1,0.5123031,1,389.2799987792969,-0.006254338800497861,1.0,-0.006254338800497861,0.9819887634161057,0.96843115300273
2023-03-16,0,0.51188356,1,396.1099853515625,0.01754517723408111,1.0,0.01754517723408111,0.9992179303121175,0.9854224492211684
2023-03-17,1,0.50589913,1,389.989990234375,-0.015450241961852518,1.0,-0.015450241961852518,0.9837797715161738,0.9701974339460601
2023-03-20,1,0.50332093,1,393.739990234375,0.009615631410812231,1.0,0.009615631410812231,0.9932394351884863,0.9795264948666013
2023-03-21,0,0.4956122,0,398.9100036621094,0.013130526631691453,1.0,0.013130526631691453,1.006281192043875,0.9923881935938945
2023-03-22,1,0.48414883,0,392.1099853515625,-0.017046497325513887,0.0,-0.0,0.9891276223949842,0.9923881935938945
2023-03-23,1,0.4902008,0,393.1700134277344,0.0027033947508923184,0.0,0.0,0.9918016248173294,0.9923881935938945
2023-03-24,0,0.4939347,0,395.75,0.006562012575101583,0.0,0.0,0.9983098395513869,0.9923881935938945
2023-03-27,0,0.48947883,0,396.489990234375,0.0018698426642451693,0.0,0.0,1.0001765218815157,0.9923881935938945
2023-03-28,1,0.47976628,0,395.6000061035156,-0.002244657249312332,0.0,-0.0,0.9979314684010824,0.9923881935938945
2023-03-29,1,0.4731801,0,401.3500061035156,0.014534883496678752,0.0,0.0,1.0124362860319616,0.9923881935938945
2023-03-30,1,0.46049482,0,403.7000122070313,0.005855253688247242,0.0,0.0,1.0183643573298655,0.9923881935938945
2023-03-31,1,0.44688138,0,409.3900146484375,0.014094630342711412,0.0,0.0,1.032717826500623,0.9923881935938945
2023-04-03,0,0.4373376,0,410.9500122070313,0.003810541299922532,0.0,0.0,1.0366530404296699,0.9923881935938945
2023-04-04,0,0.42830774,0,408.6700134277344,-0.0055481170740258046,0.0,-0.0,1.0309015679962212,0.9923881935938945
2023-04-05,1,0.4256811,0,407.6000061035156,-0.0026182672793729767,0.0,-0.0,1.0282023921524823,0.9923881935938945
2023-04-06,0,0.42544627,0,409.1900024414063,0.003900874175862601,0.0,0.0,1.03221328031159,0.9923881935938945
2023-04-10,0,0.42219484,0,409.6099853515625,0.0010263762742257487,0.0,0.0,1.0332727195324425,0.9923881935938945
2023-04-11,0,0.4199936,0,409.7200012207031,0.0002685868828276039,0.0,0.0,1.0335502430312926,0.9923881935938945
2023-04-12,1,0.41914415,0,408.0499877929688,-0.00407598707106982,0.0,-0.0,1.029337505603396,0.9923881935938945
2023-04-13,0,0.41748688,0,413.4700012207031,0.013282719249790187,0.0,0.0,1.0430099067036052,0.9923881935938945
2023-04-14,1,0.41681087,0,412.4599914550781,-0.0024427643181926806,0.0,-0.0,1.0404620793199881,0.9923881935938945
2023-04-17,0,0.41741315,0,413.9400024414063,0.003588253447581735,0.0,0.0,1.0441955209631861,0.9923881935938945
2023-04-18,0,0.4147151,0,414.2099914550781,0.0006522418999841406,0.0,0.0,1.0448765890337341,0.9923881935938945
