model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
lstm_1_layer,0.5628299894403379,0.5294117647058824,0.021686746987951807,0.041666666666666664,0.5192816378295135,524,8,406,9
lstm_2_layer,0.5501583949313622,0.4098360655737705,0.060240963855421686,0.10504201680672269,0.5320273575505028,496,36,390,25
lstm_5_layer,0.5543822597676874,0.46236559139784944,0.10361445783132531,0.16929133858267717,0.5253012048192771,482,50,372,43
gru,0.5617740232312566,0.5,0.012048192771084338,0.023529411764705882,0.5180722891566265,527,5,410,5
cnn_lstm,0.5586061246040127,0.42857142857142855,0.021686746987951807,0.04128440366972477,0.5080600597880242,520,12,406,9
