accuracy,loss,val_accuracy,val_loss
0.5093457698822021,0.6981437802314758,0.5586061477661133,0.6900255084037781
0.5244770646095276,0.6915774941444397,0.5438225865364075,0.6874486804008484
0.5311526656150818,0.6904983520507812,0.5374867916107178,0.6887925267219543
0.5222519040107727,0.6935461163520813,0.5438225865364075,0.6871293783187866
0.5342679023742676,0.6904975175857544,0.5469905138015747,0.6870284676551819
0.5315976738929749,0.6902304887771606,0.5395987033843994,0.6883241534233093
0.5309301018714905,0.6913445591926575,0.5459345579147339,0.6870951056480408
0.5476190447807312,0.6900172233581543,0.5448785424232483,0.6876211762428284
0.5331553220748901,0.6900274157524109,0.5459345579147339,0.6868444085121155
0.538273274898529,0.6890872120857239,0.5417106747627258,0.688157320022583
0.5456163883209229,0.6893941164016724,0.5395987033843994,0.6884757280349731
0.5431686639785767,0.6899657249450684,0.5438225865364075,0.6873356699943542
0.5313751697540283,0.6899449825286865,0.5438225865364075,0.6889321208000183
0.5407209396362305,0.6884486079216003,0.5438225865364075,0.691031813621521
0.5342679023742676,0.6894962191581726,0.5427666306495667,0.6957690119743347
0.5309301018714905,0.6899527311325073,0.5438225865364075,0.6875305771827698
0.5331553220748901,0.6896548867225647,0.5469905138015747,0.6869847774505615
0.5260347127914429,0.689784824848175,0.5438225865364075,0.6922740340232849
0.5404984354972839,0.689358651638031,0.5491024255752563,0.6878308653831482
