accuracy,loss,val_accuracy,val_loss
0.5057854652404785,0.6984549164772034,0.5459345579147339,0.6859926581382751
0.5204717516899109,0.694841742515564,0.540654718875885,0.6942228674888611
0.5129060745239258,0.6934231519699097,0.5469905138015747,0.6867775917053223
0.5262572169303894,0.6914205551147461,0.5448785424232483,0.6860549449920654
0.5398308634757996,0.6895294189453125,0.5469905138015747,0.6861671805381775
0.5226969122886658,0.6914234757423401,0.5491024255752563,0.6871137022972107
0.5360480546951294,0.6903398633003235,0.5448785424232483,0.691297709941864
0.5278148651123047,0.6906412839889526,0.5469905138015747,0.6862757802009583
0.5351579785346985,0.6913120746612549,0.5533263087272644,0.6855500936508179
0.5282598733901978,0.6908971071243286,0.5469905138015747,0.6877747178077698
0.5425010919570923,0.6898474097251892,0.5491024255752563,0.6861757636070251
0.5376057028770447,0.6899282932281494,0.5543822646141052,0.6861406564712524
0.5347129702568054,0.6896137595176697,0.5501583814620972,0.6858412623405457
0.5364931225776672,0.6893478035926819,0.540654718875885,0.6861609816551208
0.5267022848129272,0.6910039186477661,0.5543822646141052,0.6863323450088501
0.5407209396362305,0.6893751621246338,0.5427666306495667,0.689084529876709
0.5278148651123047,0.689765989780426,0.5533263087272644,0.6877038478851318
0.5425010919570923,0.6892358064651489,0.5501583814620972,0.6875385046005249
0.5362705588340759,0.6892738938331604,0.551214337348938,0.6862143278121948
