model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
lstm_1_layer,0.49806201550387597,0.5570032573289903,0.5816326530612245,0.5690515806988353,0.49882024882024883,86,136,123,171
lstm_2_layer,0.47674418604651164,0.5560747663551402,0.40476190476190477,0.468503937007874,0.47122632836918543,127,95,175,119
lstm_5_layer,0.4689922480620155,0.5526315789473685,0.35714285714285715,0.43388429752066116,0.5016930195501623,137,85,189,105
gru,0.5251937984496124,0.5722713864306784,0.6598639455782312,0.6129541864139021,0.4973493902065331,77,145,100,194
cnn_lstm,0.4903100775193798,0.5612648221343873,0.48299319727891155,0.5191956124314442,0.47890237175951456,111,111,152,142
