accuracy,loss,val_accuracy,val_loss
0.5209677219390869,0.7157092690467834,0.5106796026229858,0.7106673121452332
0.5137096643447876,0.7127147316932678,0.5009709000587463,0.7105413675308228
0.5330645442008972,0.7098513245582581,0.477669894695282,0.7105664610862732
0.5262096524238586,0.706346333026886,0.47961166501045227,0.7109648585319519
0.5310483574867249,0.7060604691505432,0.4601941704750061,0.7105199098587036
0.5544354915618896,0.7035273313522339,0.48155340552330017,0.7100709676742554
0.5375000238418579,0.702978253364563,0.49126213788986206,0.7081053853034973
0.5270161032676697,0.7029790282249451,0.49320387840270996,0.711226224899292
0.5669354796409607,0.6992106437683105,0.50679612159729,0.7103158235549927
0.5528225898742676,0.7010086178779602,0.4718446731567383,0.7102416753768921
0.5645161271095276,0.6986087560653687,0.50679612159729,0.7077504992485046
0.5584677457809448,0.6966329216957092,0.4718446731567383,0.7118152976036072
0.5608870983123779,0.6943297982215881,0.469902902841568,0.7151505947113037
0.5689516067504883,0.6929840445518494,0.48349514603614807,0.7144083380699158
0.5604838728904724,0.6968435049057007,0.50679612159729,0.7110784649848938
0.561693549156189,0.6921485066413879,0.48349514603614807,0.7159887552261353
0.5802419185638428,0.6897634863853455,0.48155340552330017,0.7126649022102356
0.57419353723526,0.6872724890708923,0.48543688654899597,0.7150770425796509
0.5874999761581421,0.6863145232200623,0.48932039737701416,0.71827232837677
0.5895161032676697,0.6857672333717346,0.48349514603614807,0.7185797691345215
0.5766128897666931,0.6847543716430664,0.49126213788986206,0.7175847291946411
