accuracy,loss,val_accuracy,val_loss
0.4862903356552124,0.7143619060516357,0.50679612159729,0.7110055088996887
0.5245967507362366,0.7093128561973572,0.48737862706184387,0.7100655436515808
0.5185483694076538,0.709983766078949,0.4718446731567383,0.7099233269691467
0.500806450843811,0.7086742520332336,0.477669894695282,0.7100335955619812
0.500806450843811,0.7074583768844604,0.48737862706184387,0.7111504077911377
0.4971774220466614,0.7082306146621704,0.4582524299621582,0.7106485366821289
0.5137096643447876,0.7070402503013611,0.4718446731567383,0.7088197469711304
0.4955645203590393,0.7069057822227478,0.4582524299621582,0.7098819613456726
0.5334677696228027,0.7058230042457581,0.4660194218158722,0.7092443108558655
0.5120967626571655,0.7063872218132019,0.4679611623287201,0.7130287289619446
0.5201612710952759,0.7063372731208801,0.4679611623287201,0.7105509638786316
0.5145161151885986,0.7049210667610168,0.4582524299621582,0.710814893245697
0.5064516067504883,0.7047703862190247,0.4737864136695862,0.7088037133216858
0.5342742204666138,0.7021093368530273,0.477669894695282,0.70880526304245
0.521774172782898,0.7024184465408325,0.49126213788986206,0.7089974880218506
0.5282257795333862,0.7024624943733215,0.4563106894493103,0.7096601128578186
0.5358871221542358,0.6976485848426819,0.4640776813030243,0.7231402397155762
0.5362903475761414,0.7004340887069702,0.4601941704750061,0.7125240564346313
0.5310483574867249,0.7001794576644897,0.4524271786212921,0.716879665851593
0.5193548202514648,0.7013567090034485,0.4718446731567383,0.7116398811340332
0.5354838967323303,0.6965254545211792,0.4640776813030243,0.7160556316375732
0.5596774220466614,0.696340799331665,0.4640776813030243,0.7185448408126831
0.5419355034828186,0.6924095153808594,0.49126213788986206,0.7179977297782898
